pubchem_id,Bladder/Urinary Tract,Bowel,Breast,CNS/Brain,Cervix,Esophagus/Stomach,Kidney,Liver,Lung,Ovary/Fallopian Tube,Pancreas,Peripheral Nervous System,Skin,Uterus
104741,0,1,1,0,0,1,0,0,1,1,0,0,1,1
74990,1,1,1,1,1,1,1,1,1,1,1,0,1,0
60838,1,1,1,1,1,1,1,1,1,1,1,0,1,0
9887053,1,1,1,0,0,1,0,1,1,1,1,1,1,1
135410875,1,1,1,1,1,1,1,1,1,1,1,0,1,1
65348,1,1,1,0,0,1,0,1,1,1,1,0,1,0
176870,1,1,1,1,1,1,1,1,1,1,1,0,1,0
36314,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2187,0,0,1,1,0,0,0,0,1,1,0,0,0,1
60699,1,1,1,1,1,0,1,1,1,1,0,0,1,1
60750,1,1,1,1,1,0,1,1,1,1,1,0,1,1
5281004,0,1,1,0,0,1,1,1,1,0,0,0,1,0
148124,1,1,1,1,1,1,0,0,1,1,1,0,1,1
23725625,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5329102,1,1,1,1,0,1,1,1,1,1,1,0,1,1
3385,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5330286,1,1,1,1,0,0,1,1,1,1,1,0,1,1
123631,1,1,1,1,0,1,1,1,1,1,1,0,1,0
78357807,0,1,0,1,0,0,1,0,1,0,0,0,1,0
6918289,1,1,1,1,0,1,1,1,1,1,1,0,1,1
11167602,1,1,0,1,0,1,1,1,1,1,1,0,1,0
443939,1,1,1,1,0,1,1,1,1,1,1,0,1,1
135398658,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2563,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10184665,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46220502,1,1,1,1,0,1,1,1,1,1,1,0,1,1
25102846,1,1,1,1,1,1,1,1,1,1,1,0,1,1
444795,1,1,1,1,1,0,1,1,1,0,1,0,1,0
11707110,0,1,1,1,1,1,1,1,1,0,1,0,1,0
6256,0,1,1,1,0,1,1,1,1,1,1,0,1,0
16052011,0,1,1,0,0,0,0,0,0,1,1,0,1,1
44631912,0,1,1,1,0,1,1,1,1,1,1,0,1,1
